FR;EN;group;stage;type
assaut;assault;;1.0;mot regulier
tablier;apron;;1.0;mot regulier
le coude;elbow;;1.0;mot regulier
harceler;to harass;;1.0;mot regulier
propice;favorable;;1.0;mot regulier
illimité;unlimited;;1.0;mot regulier
poitrine;chest;;1.0;mot regulier
affranchissement;postage;;1.0;mot regulier
interpelle;to shout to;;1.0;mot regulier
aviser;to advise;;1.0;mot regulier
le cirque;circus;;1.0;mot regulier
fade;tasteless;;1.0;mot regulier
friandise;treat (n.);;1.0;mot regulier
resilier;to terminate;;1.0;mot regulier
gamin;kid;;1.0;mot regulier
dissertation;essay;;1.0;mot regulier
abriter;shelter;;1.0;mot regulier
la fissure;crack;;1.0;mot regulier
la garniture;the filling;;1.0;mot regulier
pote;friend;;1.0;mot regulier
claque;slap;;1.0;mot regulier
minuscule;tiny;;1.0;mot regulier
rocailleux;rocky;;1.0;mot regulier
Je ne peux pas y aller, ni ne le veux.;I can't go there, nor do I want to.;;2.0;mot regulier
un éboulement;a landslide;;2.0;mot regulier
la morue;cod;;0.0;n'importe
l'expéditeur;the sender (m);;2.0;mot regulier
la foi;faith;;2.0;mot regulier
une intrigue;a plot;;2.0;mot regulier
Ne t'en fais pas à propos à ça.;Don't worry about it;;2.0;grammaire
un achigan;freshwater bass;;1.0;mot regulier
une entrée;a starter / appetizer;;1.0;mot regulier
avérer;to prove;;1.0;mot regulier
en pincer pour [quelqu'un];to have a crush on [someone];;1.0;mot regulier
le grand format;the broadsheet;;1.0;mot regulier
tamponner;to stamp;;1.0;mot regulier
écossaise;Scottish (fem);;1.0;mot regulier
un bourgeon;(flower) bud;;1.0;mot regulier
un hymne;an anthem;;1.0;mot regulier
Je regarde la télé autant que Jeanne.;I watch TV as much as Jeanne.;;1.0;mot regulier
l'ordure;the litter;;1.0;mot regulier
devis;quotation;;1.0;mot regulier
la crise de la quarantaine;the midlife crisis;;1.0;mot regulier
un raccourci;a shortcut;;1.0;mot regulier
Pourrais-tu m'aider ?;Could you help me?;;1.0;mot regulier
frétiller;to wriggle;;1.0;mot regulier
La conférence de presse n'était pas très informative.;The press conference was not very informative.;;1.0;mot regulier
la secouriste;the paramedic;;1.0;mot regulier
gras;bold;;1.0;mot regulier
un chou-fleur;a cauliflower;;1.0;mot regulier
J'y arrive pas.;I can't do it.;;1.0;mot regulier
Vous pourriez réserver pour moi ?;Can you book for me?;;1.0;mot regulier
un dessous de verre;a coaster;;1.0;mot regulier
tant que;as long as. Until;;1.0;mot regulier
un pèlerinage;a pilgrimage;;1.0;mot regulier
un poil;a hair (not on the head);;1.0;mot regulier
un soldat;a soldier;;1.0;mot regulier
être de bonne humeur;to be in a good mood;;1.0;mot regulier
la fente;the coin slot;;1.0;mot regulier
subir une faute;to be fouled;;1.0;mot regulier
la hanche;hip;;1.0;mot regulier
Ma valise a été perdue !;My suitcase has gone missing!;;1.0;mot regulier
la rédaction;the essay;;1.0;mot regulier
Quand le gardien est arrivé, le coupable avait disparu.;When the guard arrived, the culprit had disappeared.;;1.0;mot regulier
le gallois;Welsh;;1.0;mot regulier
un enjoliveur;hubcap;;1.0;mot regulier
se les cailler;to freeze one's butt off (fam.);;1.0;mot regulier
la conduite;the pipeline;;1.0;mot regulier
ranger;to stow;;1.0;mot regulier
édicter;enact;;1.0;mot regulier
Ce sont les mouchoirs de Paul. Prends plutôt les miens.;Those are Paul's tissues (masc.). Take mine instead.;;1.0;mot regulier
Sans médiator je ne peux pas jouer de guitare.;I can't play the guitar without a plectrum.;;1.0;mot regulier
régner;to reign/rule;;1.0;mot regulier
diatribe;diatribe. critique.;;1.0;mot regulier
faire rissoler;to brown;;1.0;mot regulier
un œillet;carnation;;1.0;mot regulier
l'étole;the stole;;1.0;mot regulier
J'ai une crampe au mollet !;I have a cramp in my calf!;;1.0;mot regulier
un phoque;a seal;;1.0;mot regulier
Tâcher de [faire];To try to [do];;1.0;mot regulier
le chantier;the building site;;1.0;mot regulier
à l'épreuve des ours;bear-proof;;1.0;mot regulier
la navigation;browsing;;1.0;mot regulier
la contravention;the ticket;;1.0;mot regulier
Vous pouvez aller au musée.;You (pl., informal) can go to the museum.;;1.0;mot regulier
le hêtre;the beech;;1.0;mot regulier
fosser;to dig a ditch;;1.0;mot regulier
embarras;embarrassment;;1.0;mot regulier
le menuisier;the carpenter (masc.);;1.0;mot regulier
Ce livre est moins intéressant qu'une bande-dessinée.;This book is less interesting than a comic.;;1.0;mot regulier
perdre une occasion;to miss an opportunity;;1.0;mot regulier
